충전소,grid_id
남양읍사무소,822.0
남양읍사무소,822.0
노작공원,1557.0
노작공원,1557.0
동탄보건소,1526.0
동탄보건소,1526.0
매송(목포) 휴게소,
매송(목포) 휴게소,
매송(목포) 휴게소,
매송(목포) 휴게소,
매송(목포) 휴게소,
매송(목포) 휴게소,
매송(목포) 휴게소,
매송(목포) 휴게소,
매송(목포) 휴게소,
매송(서울) 휴게소,
매송(서울) 휴게소,
매송(서울) 휴게소,
매송(서울) 휴게소,
매송(서울) 휴게소,
매송(서울) 휴게소,
매송(서울) 휴게소,
매송(서울) 휴게소,
매송(서울) 휴게소,
센트럴파크,1493.0
센트럴파크,1493.0
송산포도(시흥) 휴게소,
송산포도(평택) 휴게소,
송산포도(평택) 휴게소,
이마트 동탄점,1557.0
이마트 동탄점,1557.0
자동차안전연구원,
자동차안전연구원,
자동차안전연구원,
자동차안전연구원,
전곡항마리나,
전곡항마리나,
제부도공영주차장,
제부도공영주차장,
제부도공영주차장,
한국주택토지공사 동탄사업본부,
한국주택토지공사 동탄사업본부,
한국주택토지공사 동탄사업본부,
화성(목포) 휴게소,
화성(목포) 휴게소,
화성(서울) 휴게소,
화성(서울) 휴게소,
화성(서울) 휴게소,
화성(서울) 휴게소,
화성(서울) 휴게소,
화성(서울) 휴게소,
화성(서울) 휴게소,
화성(서울) 휴게소,
화성(서울) 휴게소,
화성(서울) 휴게소,
화성동탄경찰서,
화성동탄경찰서,
화성드림파크,
화성드림파크,
화성드림파크,
화성드림파크,
화성시청,852.0
화성종합경기타운,1101.0
화성종합경기타운,1101.0
화성종합경기타운,1101.0
동탄신도시주유소,
동탄신도시주유소,
송산마도IC충전소,
송산마도IC충전소,
수노을주유소,
수노을주유소,
쌍학주유소,
쌍학주유소,
동탄 숲속마을광명메이루즈(화성),1493.0
동탄 숲속마을광명메이루즈(화성),1493.0
동탄삼희프라자(화성),1557.0
동탄삼희프라자(화성),1557.0
동탄역리코빌(화성),1588.0
동탄역리코빌(화성),1588.0
동탄역리코빌(화성),1588.0
동탄역우성타워(화성),
동탄역우성타워(화성),
동탄역우성타워(화성),
동탄역우성타워(화성),
마도공구상가(화성),
마도공구상가(화성),
마도공구상가(화성),
마도공구상가(화성),
마도공구상가(화성),
반월메디컬프라자(화성),
반월메디컬프라자(화성),
삼성프라자(화성),1100.0
삼성프라자(화성),1100.0
센트럴시티오피스텔(화성),1524.0
센트럴시티오피스텔(화성),1524.0
센트럴시티오피스텔(화성),1524.0
센트럴시티오피스텔(화성),1524.0
